acceleration_magnitude,rotation_magnitude,attitude_magnitude
0.15060532998412124,0.4111325128740667,0.34872681807917094
0.11969302659568735,0.29076017762421136,0.3189218837402207
0.25513879647631865,0.20184315484807225,0.3276678100154947
0.2707729257640795,0.17829601126087474,0.3517263718247743
0.16550162030418222,0.21050474709401965,0.34347138927445986
0.1539142481219997,0.1980304195066386,0.34899850462785476
0.14629623457156188,0.4322405360513011,0.36948962782472194
0.13589214305484315,0.694570989063833,0.4280301526527457
0.1474664113874711,0.793432185860979,0.6201739506768702
0.11574374363587149,0.639447082437503,0.805168848809126
0.0923860466795759,0.3922463120460879,0.8511845447649182
0.12302220929082729,0.24955081934999238,0.8392094379369248
0.11335553172432665,0.1994355988996706,0.8306550403352826
0.08249889687627217,0.1522341744464705,0.8249553259375808
0.06390438862929328,0.17348390575830613,0.8206179459463618
0.054316011806614224,0.18742990667196655,0.8164115454748644
0.05111564669885736,0.18823762783017617,0.8141739544760968
0.07974621095997605,0.17771350045560416,0.8148798057025608
0.11453287871694783,0.13242731394411175,0.8153400534644266
0.05283860195345772,0.15200637650235288,0.812642388559815
0.036665897837388134,0.15423246405109642,0.8076471014079196
0.04171092177664573,0.12215510875810102,0.8041781146091141
0.07599499035368261,0.12906239127793148,0.8016137881384469
0.1154683145600022,0.11852792048930992,0.7994262514652886
0.12332677922196181,0.10109721063922059,0.7972998477271254
0.1339090139928642,0.08306645215403317,0.7948119562740834
0.14296461754758294,0.055898891061980684,0.7925658921049404
0.15326684765160417,0.014852848261144927,0.7916393229245186
0.17843094438443335,0.02474015664042151,0.7915869269792634
0.15344593363676493,0.09539503826732268,0.792354163844679
0.14587040911026045,0.1956882858663218,0.7948126494724768
0.17959611458459032,0.2844062563365615,0.7993852076661868
0.20065782431494134,0.3700172193193085,0.8036091174029958
0.15357689704972802,0.3740183276248043,0.8088577269491232
0.19543489151744797,0.3484841165620233,0.8144209411268777
0.18974194410082612,0.3469144917571382,0.8206741370632537
0.08696869100613665,0.30818089325789727,0.8317856755266007
0.04900019618452978,0.3312284758037013,0.7696540919972695
0.037936226134370754,0.29751972651527847,0.6817335365620898
0.055303197793442754,0.2634181187950957,0.6058597222191049
0.07820413892587348,0.296453046511738,0.5307414479751159
0.08350281230552013,0.2919878924016042,0.4572473195243324
0.09469715929774256,0.2796523736129562,0.4046670794009535
0.09399717440178908,0.31178489081443034,0.3630163915203053
0.09980193476107788,0.2994397500405458,0.33243675344338364
0.12228553161556302,0.284377301843371,0.3100055100211436
0.14472526996734533,0.2648810888183774,0.2940837413166514
0.14924699986394452,0.2008125403374696,0.28407551976049694
0.1565609109596677,0.1301247134258412,0.2824260843173383
0.16424645906733445,0.1608860544609299,0.29073730516967067
0.15627547219909885,0.26741598601335365,0.31148461219492574
0.1519183637518999,0.3620916850905864,0.3486518856988219
0.27719919264442777,0.31162287387081344,0.4016215519808902
0.36354249330139793,0.15661603715993683,0.4407313486130475
0.36493532557673436,0.1631141184857164,0.4540745199353723
0.1807578748830659,0.36590698557872425,0.4277856371359813
0.20480783609308026,0.37104306816242943,0.3869210158923827
0.31452746348662913,0.18453492466650737,0.3601441597298364
0.3639369548348146,0.19080613193948245,0.3668266749099037
